Project_Number,Project_Title,Project_Description,OIA_AREA,Round,Approval_Date,Program,Lead_Research_Institution,City,Ontario_Commitment,Total_Project_Costs,Keyword,EXPENDITURE_TYPE,First_Name,Last_Name
ER14-10-108,"Simple and Inexpensive Fabrication of Micro and Nanostructured Surfaces for Sensors, Flexible Electronics, and Tissue Engineering Applications","Micro/nanostructured surfaces show unique properties that make them attractive for applications in biosensor, flexible electronics, and tissue engineering. Fabrication approaches currently used to structure surfaces involve one or more expensive or time consuming steps. The research proposed aims at developing simple, rapid and inexpensive ways to fabricate structured surfaces with features tuneable in the micro- to nanoscale and demonstrate their use in biosensing, flexible electronics and cell culture applications. Developing such approaches will enable the creation of inexpensive sensors, diagnostic and biomedical devices that will contribute to advanced health technologies, and therefore enhance the quality of life of Ontarians.",Advanced health technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,McMaster University,Hamilton,"$140,000","$190,000","Micro and nanofabrication, surface topography, stress-driven wrinkling, thin film, transferrable topography, high surface area electrode, biosensor, flexible electronics, tissue engineering, fluorescence microscopy",Operating,Jose,Moran-Mirabel
ER14-10-113,"How do the bacteria in our gut link obesity, diabetes and fighting infections?",The prevalence of obesity in Ontario is alarming. Obesity causes inflammation and is a major risk factor for type 2 diabetes. We know very little about the potential triggers of inflammation during obesity. There are trillions of bacteria in our gut. Changes in these bacteria can promote and even prevent inflammation inside the body. We discovered that pre-diabetes is linked to a specific group of immune sensors that cause inflammation in response to bacteria and certain drugs (i.e. Lipitor).  We will continue to research how to prevent bugs and drugs from causing pre-diabetes by understanding where immunology and metabolism connect.,Advanced health technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,McMaster University,Hamilton,"$140,000","$190,000","Insulin, glucose, endocrinology, exercise, obesity, inflammation, physiology, immunometabolism",Operating,Jonathan,Schertzer
ER14-10-119,How dark is Dark Matter? Looking for ways to interact with 80% of the matter in the Universe.,"Astrophysical and cosmological observations reveal that 80% of the matter in our Universe is a new form of matter that interacts very weakly with. One of the most compelling possibilities is that it is some new fundamental particle. My proposal's objective is to find new ways to search for the interactions of dark matter with normal matter in several large experimental frontiers: underground labs (e.g. SNOLAB), particle colliders (e.g the LHC), and modern astrophysical observatories (e.g. IceCube). The research will train highly qualified personnel and strengthen the province’s profile in the global academic communit",Cosmic science research,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,McMaster University,Hamilton,"$140,000","$190,000","Dark Matter, Weak Interactions, Beyond the Standard Model, Astroparticle physics, Direct Detection, Indirect Detection, Large Hadron Collider, SNOLAB",Operating,Itay,Yavin
ER14-10-019,New Frontiers of Fundamental Forces and Matter,"The Universe is largely composed of dark matter of unknown form, which may interact with ordinary matter through
new fundamental forces. My research will pioneer powerful new approaches to study dark matter, search for
undiscovered forces, discover True Muonium, and exp lore theoretical implications and experimental tests of forces
mediated by continuous-spin particles. This work will leverage my international leadership developing new
experiments to search for forces at nuclear length scales, add significantly to Ontario's influential program in particle
physics, and develop cutting-edge experimental techniques to advance dark matter science with strong potential for
technological applications.",Cosmic science research,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,Perimeter Institute for Theoretical Physics,Waterloo,"$140,000","$190,000","particle physics phenomenology, dark matter, continuous spin particles, theoretical physics, experimental high-energy physics, collider physics, beyond the Standard Model physics, fixed-target experiments, space-time symmetries, new field theories",Operating,Philip,Schuster
ER14-10-020,Next generation data analysis for cosmic microwave background and large-scale structure,"The goal of cosmology is to answer some of the oldest, most self-motivating questions in science: what is the universe
composed of, how did it begin, and how will it end? Modem cosmology is a data-driven science; we make progress
toward answering these questions largely by doing new experiments. My research spans a range of subfields
including theoretical physics, computational techniques, and data analysis of new and exciting datasets. This research
will benefit Ontario by enhancing its scientific profile in this high-impact field, by training the next generation of
scientists, and by increasing Ontario involvement in cutting-edge international experiments.",Cosmic science research,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,Perimeter Institute for Theoretical Physics,Waterloo,"$140,000","$190,000","cosmology, cosmic microwave background, large scale structure, data analysis",Operating,Kendrick,Smith
ER14-10-209,Development of Miniaturized Batteries: Application to Portable Diagnostic Systems and Renewable Energies,"In the current research, we propose the development of a novel type of rechargeable micro battery with a wide range of applications. A single micro battery can be used for portable medical diagnostic systems benefiting Ontario’s health care system.  Large numbers of micro batteries can be bundled into stacks with high energy contents despite their small volumes. These stacks could solve the battery bottleneck for electric cars or they can serve in combination with regenerative energy sources as power supply in remote areas of Ontario. We will use a combined experimental and computational approach to develop these batterie",Development and creation of investigation spots,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,Queen's University,Kingston,"$140,000","$190,000","Microfluidics, Rechargeable Batteries, Regenerative Energy Storage, Lab-on-a-Chip, Electrochemical Engineering",Operating,Dominik,Barz
ER14-10-211,Cognitive and Visual Processing of  Familiar Environments Across the Lifespan,"The proposed research will explore how visual and cognitive processing of our environment changes with the increased personal familiarity and how familiarity may act as a mitigating factor in the cognitive decline as we age. Through a series of innovative experiments that use state-of-the-art eye movement and neuroimaging technology, the proposed work is an essential first step towards a thorough understanding of the mechanisms and importance of familiarity in cognitive function over our lifespan. This has important implications for the optimal care for Ontario’s ballooning senior population, since seniors often exhibit rapid cognitive decline when separated from familiar environment",Development and creation of investigation spots,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,Queen's University,Kingston,"$140,000","$190,000","visual cognition, visual memory, scene perception, object recognition, visual search, selective attention, eye movements, neuroimaging",Operating,Monica,Castelhano
ER14-10-212,THE ROLE OF THE PRENATAL ENVIRONMENT IN ADOLESCENT BRAIN DEVELOPMENT: A STUDY IN ADOLESCENT TWINS,"Studies have shown that early adverse environmental exposures increase risk for psychopathology later in life. The proposed research will investigate the brain and molecular mechanisms accounting for this relationship, using data collected in a longitudinal twin cohort. Such research may inform early (preventive) intervention programs that foster brain development and, consequently, prevent psychopathology. This would not only benefit the health of many Ontarians, but also reduce the economic and societal burden associated with psychopathology. Moreover, the research offers highly interdisciplinary training in the mental health field, which will prepare trainees very well for a highly competitive job market.",Advanced health technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,Queen's University,Kingston,"$140,000","$190,000",psychopathology; mental health; brain-imaging; depression; serotonin; gene-environment interaction; stress; brain development; epigenetics,Operating,Linda,Booij
ER14-10-220,Gender Mainstreaming in the Military: Economic and Social Implications for Ontario,"The Canadian Armed Forces play a big role in Ontario. The province hosts many of the country's military bases and therefore, understanding the interactions between the women and men who serve on these bases is of paramount importance. Of particular interest are military-to-civilian professional transitions in the province. While Canada could be perceived as a leader in this regard, little research exists to date on this topic. The proposed project focuses on military-to-civilian transitions of service women and men to design professional programs in Ontario that assist veterans' reintegration into civilian life after a career in the Armed Forces.",Social and cultural investigation and development,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,Queen's University,Kingston,"$140,000","$190,000",Canadian Armed Forces; Gender; War in Afghanistan; Veterans; Professional Training;,Operating,Stefanie,von Hlatky
ER14-10-221,A Neutrinoless Double Beta Decay Search with SNO+,"This research seeks to determine whether or not neutrinos are their own anti-particles by searching for a rare nuclear decay process called neutrinoless double beta decay. To do this, tellurium metal will be dissolved into the SNO+ neutrino experiment, which is located at SNOLAB near Sudbury, giving SNO+ world-leading sensitivity to neutrinoless double beta decay. Detecting neutrinoless double beta decay – which would be a major breakthrough in international science  – would prove that neutrinos are their own anti-particles, helping us to better understand not only neutrinos themselves, but also the way that neutrinos have influenced the evolution of the Unive",Chemical and biological experimentation for the future,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,Queen's University,Kingston,"$140,000","$190,000","particle astrophysics, particle physics, nuclear physics, neutrinoless double beta decay, materials purification, ultra-low background techniques, SNO+, SNOLAB",Operating,Alexander,Wright
ER14-10-042,Activation of Mesenchymal Stem Cells with Danger Signals: Enhancing Bacterial Clearance and Tissue Repair  during sepsis-induced ARDS,"When people become critically ill, such as during severe infection, their lungs often fail – termed Acute Respiratory Distress Syndrome (ARDS). ARDS is common, often fatal, and has no treatment. Mesenchymal Stem Cells (MSCs) offer significant hope for ARDS patients, repairing injured lung and reducing damaging inflammation. This project aims to enhance the efficacy of these cells to reliably treat patients with ARDS. If our efforts are successful, we aim to ultimately develop a new MSC therapy to save the lives of ARDS patients and improve the quality of life of survivors in Ontari",Advanced health technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,St. Michael's Hospital,Toronto,"$140,000","$190,000","Sepsis, Acute Respiratory Distress Syndrome, Mesenchymal Stem Cells, Macrophages, Phagocytosis",Operating,Gerard,Curley
ER14-10-044,Responding to the needs of policy-makers through systematic reviews and network meta-analysis,"Policy-makers make decisions at the systems level and require information on all potential interventions in a timely manner. Conducting a systematic review and network meta-analysis (NMA) is the only feasible approach to formally compare the safety and effectiveness of all interventions. I aim to improve the methods of NMA by identifying methods for: integrating complex evidence (e.g., patient preferences) from multiple sources (e.g., qualitative, observational studies); conducting NMA of complex interventions; conducting NMA in a timelier manner without compromising validity of results. This will optimize decision-making capabilities through increased availability of timely evidence-based findings, leading to enhanced healthcare in Ontario.",Advanced health technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,St. Michael's Hospital,Toronto,"$140,000","$190,000","systematic reviews, network meta-analysis, knowledge synthesis, research methods, decision-making, complex interventions, drug safety and effectiveness",Operating,Andrea,Tricco
ER14-10-034,microRNA as mediators of aggression and therapy resistance in prostate cancer,"Found through their alteration in prostate cancer, our group has linked specific small fragments of genetic material to increased radiation resistance.  By investigating the mechanism of these microRNAs in promoting resistance to  therapy, we aim to develop microRNAs as predictive biomarkers to identify resistant forms of prostate cancer through a urine test and to further explore microRNAs as identifiers of aggressive forms of prostate cancer.  This will allow a simple screen to detect early on hard-to-treat prostate cancers in patients so that more efficient decisions with a personalized course can be made upon diagnosis, effectively improving outcomes.",Advanced health technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,Sunnybrook Research Institute,Toronto,"$140,000","$190,000","prostate cancer, radiation treatment, therapy resistance, microRNA, biomarkers",Operating,Stanley,Liu
ER14-10-035,The Ontario Chronic Obstructive Pulmonary Disease (COPD) Population Health Network,"Dr. Gershon is a scientist at Sunnybrook Research Institute and the Institute for Clinical Evaluative Sciences and a practicing respirologist. She is an internationally-recognized health services researcher who, although early in her career, has already published 53 peer reviewed journal articles including articles in the Lancet and Annals of Internal Medicine.  As a principal investigator, she has held more than two million dollars in peer-reviewed funding from the Canadian Institutes of Health Research and other funding agencies.  Her academic honours include being a CIHR New Investigator, an Ontario Career Scientist and a Physician Services Incorporated Fellow in Translational Research.",Advanced health technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,Sunnybrook Research Institute,Toronto,"$140,000","$190,000","chronic obstructive pulmonary disease (COPD), respiratory disease, quality of care, chronic disease, evidence based practice",Operating,Andrea,Gershon
ER14-10-036,Understanding the roles of stem cell biology in cancer development,"We are the only lab in Canada to use the freshwater flatworm (planarian) as a model for stem cell biology, cancer, and regeneration.  Planarians are a powerful model because they have a large population of adult stem cells that can be manipulated and visualized in live animals.  This allows us to study how the normal stem cells might go awry during cancer development, as well as the ability to understand how the stem cells allow the worm to regenerate any tissue that is lost during injury.  This work will allow for innovation in the fields of cancer biology and regeneration.",Advanced health technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,The Hospital for Sick Children,Toronto,"$140,000","$190,000","stem cells, cancer, tumor suppressors, lineage development, planarians, differentiation, regeneration",Operating,Bret,Pearson
ER14-10-037,Mechanisms and biomarkers of growth faltering in early childhood,"A baby’s size and growth are key determinants of future health. Yet, surprisingly little is known about why some babies grow slowly or ‘falter’. Dr. Roth’s research will generate new knowledge about infant growth in the first months of life. Early preterm infants in Ontario and babies in Bangladesh have distinct early-life experiences, yet both populations are at high-risk of early growth faltering. Using cutting-edge techniques to integrate a range of biochemical and clinical data from both groups, Dr. Roth’s proposed studies aim to advance our understanding of the detection and prevention of infant growth deficits in Ontario a",Advanced health technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,The Hospital for Sick Children,Toronto,"$140,000","$190,000","Child, Growth, Nutrition, Malnutrition, Biomarkers, Anthropometry, Epidemiology , Translational medicine, Global health, Proteomics",Operating,Daniel,Roth
ER14-10-039,Co-clinical trials in autism,"Autism has proven frustratingly difficult to treat. New treatments seem to always fail, though often with intriguing retrospective analyses that a subset of participants did very well on the drug. A likely reason is the complex mix of causes that underlie this disorder. Autism is highly heritable, yet no single gene accounts for more than 1-2% of patients. To create more effective therapies we thus have to separate patients into groups that will respond similarly to new treatments. We have to move to personalized medicine; to do so we have to first identify the factors that predict treatment response.",Advanced health technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,The Hospital for Sick Children,Toronto,"$140,000","$190,000","autism, neurodevelopmental disorders, magnetic resonance imaging, neuroscience, mouse models, neuroanatomy",Operating,Jason,Lerch
ER14-10-040,Using imaging to determine how chemotherapy affects brain development,"Modern chemotherapy cures 90% of children with acute lymphocytic leukemia (ALL), the most common childhood cancer. However, in half of these patients, chemotherapy has neurological side effects that affect performance in school and reduce quality of life. We will use magnetic resonance imaging in mice to study how brain development is altered by chemotherapy and determine which chemotherapy agents are most detrimental, individually or in combination. This represents a critical first step to allow individualization of ALL chemotherapy, with the aim of ensuring ALL survivors enjoy the same quality of life as their cancer-free peers.",Advanced health technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,The Hospital for Sick Children,Toronto,"$140,000","$190,000",magnetic resonance imaging; brain development; pediatric cancer treatment; chemotherapy; cognitive impairment,Operating,Brian,Nieman
ER14-10-121,High-Throughput Discovery of Synergistic Drug Combinations in High-Grade Serous Ovarian Cancer,"Due to development of resistance, treatment failure rates remain high for single-drug therapies. It has been recently demonstrated that simultaneous therapy with two drugs is much more effective than single and sequential therapies. We propose here to implement a novel bioinformatic pipeline that leverages large pharmacogenomic datasets to enable high-throughput identification of efficient drug combinations in high-grade serous ovarian cancer (HGSC), the most lethal gynecologic malignancy. We plan to identify sensitizers to 10 drugs used in HGSC, to increase therapeutic efficacy and potentially decrease toxicity, therefore reducing the burden of HGSC on Ontario health care.",Advanced health technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,University Health Network,Toronto,"$140,000","$190,000","Cancer, Pharmacogenomics, Bioinformatics, Computational Biology, Machine Learning, Big Data, Drug repurposing, Targeted Therapy, Biomarkers, Translational Research",Operating,Benjamin,Haibe-Kains
ER14-10-124,Development of Systemic Sclerosis Subset Classification Criteria,"In systemic sclerosis (SSc), the immune system attacks the skin, heart and lungs leading to death. There is no cure. Currently, only patients with established disease have access to trials; and patients with early disease are denied access to potentially life-saving treatment. I will use innovative methods to develop classification criteria to identify subsets of SSc patients. This will enable selection of the right patients, to access the right treatment, at the right time. This proposal provides leading-edge training to produce highly qualified personnel; enhances Ontario’s profile in the global academic community and implements knowledge transfer through advanced health technologie",Advanced health technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,University Health Network,Toronto,"$140,000","$190,000","Classification Criteria, Systemic Sclerosis, Validation, Systemic Review, Content Analysis, Multicriteria decision analysis, similarity network fusion",Operating,Sindhu,Johnson
ER14-10-125,Novel treatments to improve reactive balance control for falls prevention,"Reactive balance control is the ability to regain stability following an unexpected loss of balance, and is essential for preventing falls in daily life. However, reactive balance control is impaired among seniors and those with brain injury (e.g. stroke). While some rehabilitation strategies seem promising, our understanding of how people acquire and make lasting adaptations to reactive balance control is currently lacking. This work will develop and evaluate novel treatment strategies for improving reactive balance control among seniors and individuals with stroke. Implementation of these novel treatments is expected to prevent falls and reduce associated health care costs.",Advanced health technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,University Health Network,Toronto,"$140,000","$190,000",Aging; Neurology; Rehabilitation; Balance; Mobility; Falls; Motor Control; Motor Learning; Biomechanics,Operating,Avril,Mansfield
ER14-10-126,Improving Diabetes Outcomes for First Nations Populations in Northern Ontario Using Community Health Workers: Adapting Leading Models of Care through Global Knowledge Translation,"First Nations (FN) populations suffer from a disproportionate disease burden and poor health outcomes associated with diabetes. Although some of the barriers that lead to these health disparities are unique to FN communities in Ontario, many are similar to those faced by vulnerable populations elsewhere in the world. The proposed research aims to apply international best practices for integrating community health workers (CHWs) with diabetes care in Ontario’s remote FN communities. Global evidence demonstrates that CHW programs improve health outcomes, deliver services efficiently and support local empowerment. We will design, implement and evaluate key elements of  models of CHW program",Advanced health technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,University Health Network,Toronto,"$140,000","$190,000","Aboriginal Health, Primary Care, Diabetes Mellitus, Community Health Workers, Knowledge Translation, Global Health",Operating,Sumeet,Sodhi
ER14-10-048,"Nutrigenomics and Metabolic Syndrome: Unravelling the interactions between omega-3 fats, genes, and inflammation.","Metabolic syndrome (MetS) is one of the most serious public health concerns affecting Ontarians. Individuals with MetS have a higher risk of diabetes and cardiovascular disease, thus placing an enormous burden on the healthcare system. High consumption of dietary fats increases body weight, which is a major risk factor for MetS. However, different fats affect a person’s metabolism in a variety of ways. Dr. Mutch will use state-of-the-art technologies to generate novel information regarding the use of omega-3 fats for the prevention and treatment of MetS. Benefits to Ontario will include improved health of its residents and reduced healthcare cost",Advanced health technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,University of Guelph,Guelph,"$140,000","$190,000","Nutrigenomics, obesity, adipose tissue, adipocyte, omega-3 fats, inflammation, fatty acid desaturases, clinical trial, translational research",Operating,David,Mutch
ER14-10-053,The adaptation of the protein synthesis machinery to low oxygen availability,"The environments in which cells grow often change rapidly. Consequently, cells have evolved mechanisms to regulate their biochemistry in response to environmental change. A critical question in cellular biology is how cells selectively synthesize proteins to aid in the adaptive response to stress while the canonical protein synthesis machinery is repressed. My research program explores this question in human cells exposed to low oxygen stress (hypoxia). The proposed study focuses on an alternative protein synthesis mechanism that is activated by hypoxia, which is an important contributor to tumor progression. This mechanism would make an ideal target for anti-tumor therapies.",Advanced health technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,University of Guelph,Guelph,"$140,000","$190,000","Translation, cancer, hypoxia, tumor microenvironment, mRNA, oxygen, protein synthesis",Operating,James,Uniacke
ER14-10-054,Energy Harvesting from Low Potential Sources,"The major focus of the proposed research is to develop novel materials and technologies for energy harvesting from low potential sources (e.g., solar, sound, waste heat, vibration, etc.). The materials  include bio-based thermoelectric materials (for clean energy production and environmentally friendly cooling) and nano phase change materials (for efficient thermal energy storage) among others. The  technologies include micro power generator (for vibration energy harvesting), clean thermoacoustic systems (for pest control, cooling, and imaging), and solar thermoelectric air-conditioning (for automobile and remote applications) among others. The underlying approach will be material preparation,  characterization, modeling, optimization,  prototype development, and testing.",Bio-economy and clean technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,University of Guelph,Guelph,"$140,000","$190,000",bio-material; clean-technology; energy-conversion; energy-efficiency; energy-harvesting; low-potential-source; nano-material;thermoacoustic; thermoelectric; waste-to-energy;,Operating,Shohel,Mahmud
ER14-10-056,Science Policy and Public Values,"Some areas of science and technology are controversial. In a pluralistic society where diversity is valued, it is often not clear how to deal with conflicting opinions and values. An important element to resolving such conflict is to have meaningful public engagement that can inform sound policy. In this project, we will conduct public deliberation on three controversial topics: vaccine hesitancy; hydraulic fracturing; funding of rare diseases. Public forums will be recruited for diversity, informed about the issues, and guided toward developing collective policy input. The project contributes to Ontario’s innovation agenda by facilitating translation of S&T into public domain",Technological development for social purposes,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,University of Guelph,Guelph,"$140,000","$190,000",science policy; public deliberation; values; science and technology studies; ethics; vaccine hesitancy; fracking; rare diseases,Operating,Kieran,O'Doherty
ER14-10-133,Investigating distributed neural contributions to voluntary goal-directed action,"While many movements are thought to be primarily driven by primary motor cortex, some recent research suggests that other brain areas may play a crucial role depending on the functional and/or anatomical demands of the task. The proposed research will investigate the contribution of various distributed neural networks to voluntary action in humans. Neural stimulation techniques as well as frequency domain electrophysiological analysis will be used to determine the brain areas involved in the production of movements. Once identified, these regions can be targeted for learning and/or rehabilitation interventions.",Technological development for social purposes,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,University of Ottawa,Ottawa,"$140,000","$190,000","Neuroscience, moto programming, nervous system, movement, motor cortex, reticular formation, tms, eletrophsiology",Operating,Anthony,Carlsen
ER14-10-134,Addressing the Access to Justice Crisis for Homeless People: The potential for new communications technologies,"This research aims to provide direct social and legal benefits to homeless people in Ontario who are facing a crisis in access to justice.  Using new media and communications technologies, it aims to enhance their digital literacy and increase their access to necessary legal information.  The project will explore how Social Networking Sites (SNSs) can be used to provide vital and timely legal information to the homeless; and whether SNSs may increase homeless people's engagement with law as agents, exercising their rights, rather than simply as people who experience legal regulation on a daily basis.",Social and cultural investigation and development,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,University of Ottawa,Ottawa,"$140,000","$190,000",access to justice; homeless; social networking sites; poverty reduction; digital economy,Operating,Suzanne,Bouclin
ER14-10-136,The Cell Biology of RNA: from Mechanism to Disease,"We study how novel mechanisms of RNA degradation, regulation and trafficking between cells contribute to diseases ranging from cancer, to Parkinson’s and Lou Gehrig’s disease. We propose to study a novel mechanism of RNA degradation that prevents genetic mutation and potentially many cancers. Our second goal is to overcome a major hurdle preventing use of many promising drugs – drug delivery into cells – by harnessing an endogenous system that communicates RNA between cells using small extracellular vesicles. With the goal of attaining maximum clinical and economic impact, our research begins with fundamental biology and continues to mouse models and human p",Advanced health technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,University of Ottawa,Ottawa,"$140,000","$190,000","cell biology, RNA biology, microRNA, exosomes, extracellular vesicles, autophagy, drug delivery, cancer, neurodegenerative disease, biomarker",Operating,Derrick,Gibbings
ER14-10-137,Understanding Context in Knowledge Translation,"My research program will generate knowledge about the role of context (work environment) in facilitating or hindering knowledge translation (KT) activities to improve healthcare professionals' research use in clinical practice. I will first identify the key features of context that are important to research use to produce a comprehensive framework of context. I will then conduct a systematic review of instruments that measure the identified key features of context, and assess the reporting of context in publications of KT interventions. These three studies collectively will result in much needed practical guidance for researchers and stakeholders undertaking clinical KT activities.",Advanced health technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,University of Ottawa,Ottawa,"$140,000","$190,000","context, knowledge translation, research use, behavior change",Operating,Janet,Squires
ER14-10-138,Tectonic and anthropogenic deformation of the Earth's crust and mantle,"The objective of the proposed research is to improve our understanding of the structure and deformation of the Earth's crust and upper mantle, to provide information on potential hazards and natural resources. More specifically, the proposed research will address how the crust and mantle deform in response to the action of plate tectonic forces and large-scale industrial processes. The outcomes from this work will provide significant benefits to Ontario by helping identify mineral targets, developing monitoring capabilities of industrial activity related to large-scale resource extraction and exploitation and establishing baseline estimates for their impact on natural hazards.",Social and cultural investigation and development,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,University of Ottawa,Ottawa,"$140,000","$190,000","Geophysics, seismology, plate tectonics, fault zones, Earth's crust, deformation, earthquakes, industrial activity",Operating,Pascal,Audet
ER14-10-139,Designer biocatalysts for the direct synthesis of enantiopure β-amino acid,"�-Amino acids are essential building blocks for the preparation of pharmaceuticals and fine chemicals. Currently, most �-amino acids are either unavailable as commodity chemicals or are prohibitively expensive because they are difficult to synthesize in enantiopure form. To address this issue, Dr. Roberto Chica is developing state-of-the-art multistate computational protein design techniques and applying them towards the creation of novel biocatalysts for economical and environmentally-friendly �-amino acid synthesis. These designer biocatalysts will enable the production of a variety of highly valuable �-amino acids thereby contributing to the bio-economy and the application of clean technologies in Ontario.",Pharmaceutical research and manufacturing,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,University of Ottawa,Ottawa,"$140,000","$190,000","Protein engineering, biocatalysis, enzymes, computational protein design, mutagenesis, high-throughput screening",Operating,Roberto,Chica
ER14-10-140,Solar Everywhere: Novel high-efficiency cell designs for solar energy systems costing less than $1/W,"Highest efficiency photovoltaic devices commercially available achieve over 40% but are costly. This research aims to provide low-cost, manufacturable device architectures delivering efficiencies >50%. Combining these two goals will yield a lower cost of energy, bringing solar capability to grid-parity. We will consider a wider range of materials and designs for multi-junction solar cell structures, including those with very different crystalline lattice constants for use in wafer-bonded, spectrally-split, or mechanically-stacked devices. The devices designed within this program will be integrated in concentrated photovoltaic systems that are part of a reconfigurable nanogrid testbed enabling a SOLAR EVERYWHERE system concept.",Bio-economy and clean technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,University of Ottawa,Ottawa,"$140,000","$190,000","Photovoltaics, solar-generated electricity, compound semiconductors, concentrator solar systems, flat panels, solar cell design, photonics, electronic device physics, electrical engineering, nanotechnology.",Operating,Karin,Hinzer
ER14-10-141,Geochemical characterization and geochronology of Earth's oldest crust and early mantle,"Our knowledge of the early Earth is limited by the scarcity of old rocks preserved. This research will investigate the early geologic history of the oldest Canadian terrains, including the Western Superior Province (Ontario). Combining field studies with the latest high-precision isotopic tools, this research will help understand the formation and stabilization of ancient cratons including Ontario’s oldest geological terrains.  This project will develop an Ontarian expertise in high-precision analysis of short-lived isotopic systematics, which recently became the technique of choice for early Earth and cosmochemistry studies. It will also contribute in the development of Highly Qualified Personnel in Ontari",Cosmic science research,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,University of Ottawa,Ottawa,"$140,000","$190,000","Early Earth, Hadean, Eoarchean, Early crust formation, Early mantle reservoirs, Canadian Archean cratons, Crust-mantle differentiation, Geochronology,  Geochemistry, Radiogenic isotope geochemistry",Operating,Jonathan,O'Neil
ER14-10-143,"Arctic Marine Use and Transportation (AMUT): informing decisions, governance and policy","Improved navigability of Canadian Arctic waters due to climate change has influenced an increase in ship traffic by 75% since 2005, testing Canadian sovereignty and security and bringing new challenges to Indigenous society. This research investigates the opportunities and risks of increased shipping in the region by analyzing historic ship patterns, projecting future scenarios, and developing policy alternatives through extensive consultation with Inuit communities, regional policy makers and industry. Project outcomes translate into benefits for Ontario through university collaborations involving training of youth in Ottawa and internationally as well as the sharing of evidence-based policy options for northern transportation planning.",Investigation of environmental situations,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,University of Ottawa,Ottawa,"$140,000","$190,000","Arctic shipping, economic development, evidence-based policy, decision-making, Inuit, Iqaluit, student training",Operating,Jackie,Dawson
ER14-10-144,Response of physical and biogeochemical processes in permafrost to warmer-wetter Arctic.,"Northern permafrost regions are experiencing dramatic transformation in response to climate changes, human development and natural disturbances. This proposal aims to determine the response of physical and biogeochemical processes in permafrost to a warmer-wetter Arctic. This will be accomplished by 11 HQPs working on 3 inter-related projects in various regions in northern Canada, from northern Ontario to Ellesmere Island. The proposal will baseline information for predicting the fluxes of solutes, nutrients, and carbon throughout the landscape of northern Canada and the outcome will provide innovative solutions to mitigate these consequences.",Bio-economy and clean technologies,Early Researcher Awards - Round 010,17-Mar-15,Early Researcher Awards,University of Ottawa,Ottawa,"$140,000","$190,000","permafrost, thermokarst, soil carbon, hydrology, environmental geochemistry, remote sensing, north Ontario, Arctic Canada",Operating,Denis,Lacelle
